"hru","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"5988","400.8","398.08","401.31","408.37","403.91","408.07","407.85","427.77","423.16"
"5989","491.14","483.75625","479.1325","495.03499999999997","472.62","483.565","488.34","486.19000000000005","487.9025"
"5982","650.7755999999999","628.9656","623.8851999999999","666.6288","653.7556000000002","644.7379999999998","618.3543999999998","579.7696000000001","276.13120000000004"
"5983","744.8572527472527","751.5881318681314","735.8004395604394","778.903076923077","742.9003296703296","767.1443956043954","807.2905494505496","785.8736263736259","765.3009890109887"
"5980","646.5723076923076","656.5084615384616","674.8323076923078","725.0984615384615","671.7384615384616","630.3276923076925","670.2815384615386","700.8676923076923","749.4761538461539"
"5981","871.54","878.21","852.73","889.55","851.33","870.74","902.26","911.7","882.44"
"5986","398.77999999999986","396.68000000000006","399.7700000000001","406.6499999999999","402.93000000000006","406.60999999999996","406.6999999999999","426.48999999999984","422.3000000000001"
"5987","399.62","397.5","400.79","407.69","403.42","407.46","407.62","426.43","422.4"
"5984","811.035849056604","822.2883018867923","796.0941509433962","838.0724528301886","795.4137735849056","824.0460377358492","877.3392452830191","863.3937735849056","845.395849056604"
"5985","548.475","669.63","651.9699999999999","684.1225","678.5550000000001","692.0775000000001","688.4100000000001","633.92","612.5749999999999"
"6796","498.29306122448986","485.30265306122436","497.32265306122457","495.69775510204073","478.5487755102038","469.13142857142856","470.8957142857143","499.4310204081633","486.3675510204082"
"6797","510.7566666666666","485.24611111111113","500.6794444444445","487.38277777777785","468.86888888888893","465.89444444444445","459.49777777777774","490.523888888889","471.5227777777779"
"6794","473.59999999999997","455.33538461538467","462.39153846153846","464.7738461538462","456.9346153846154","435.72384615384624","435.8146153846154","463.0107692307692","446.4184615384616"
"6795","525.0350000000001","507.32","539.24","545.1800000000001","463.71500000000003","472.93499999999995","461.2","482.33500000000004","507.08000000000004"
"6792","497.2050793650795","488.4488888888888","496.06896825396814","488.93825396825395","482.5252380952381","483.08777777777755","483.0680158730157","502.6844444444444","483.8328571428572"
"6793","528.0683333333334","523.4216666666667","539.2850000000001","541.3316666666667","516.4224999999999","503.0933333333333","514.7466666666667","537.7391666666666","500.8141666666666"
"6790","495.82843749999995","492.4106249999999","496.6640625","499.495625","477.71062500000005","471.88156250000003","472.62406250000004","499.01250000000005","474.8796875000001"
"6791","556.8325862068966","543.1503448275861","551.4499999999999","547.038275862069","531.1703448275863","527.8479310344829","528.8137931034483","544.1686206896552","529.9975862068966"
"6798","758.0247619047618","788.8419047619046","802.5276190476192","839.4980952380952","779.2290476190477","770.3880952380953","761.2485714285715","769.5228571428571","812.8423809523808"
