"hru","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"5988","400.8","398.08","401.31","408.37","403.91","408.07","407.85","427.77","423.16"
"5989","473.20875","487.355","480.78875","489.91874999999993","486.02500000000003","478.33374999999995","483.18874999999997","499.96","470.15625"
"5982","651.0796000000001","624.2264","625.5244000000001","663.2643999999999","658.5516","653.8700000000001","608.8572","569.5415999999999","314.8823999999999"
"5983","744.8581318681319","751.8225274725277","735.6018681318685","777.4714285714285","739.2174725274723","766.2543956043959","806.244835164835","788.4751648351646","762.0436263736267"
"5980","646.5730769230769","665.4992307692307","667.2276923076923","714.5492307692307","674.553846153846","639.2107692307692","718.6476923076922","746.7176923076923","798.043076923077"
"5981","871.54","878.21","852.73","889.55","851.33","870.79","902.31","911.75","882.48"
"5986","398.77999999999986","396.68000000000006","399.7700000000001","406.6499999999999","402.93000000000006","406.60999999999996","406.6999999999999","426.48999999999984","422.3000000000001"
"5987","399.62","397.5","400.79","407.69","403.42","407.46","407.62","426.43","422.4"
"5984","811.0352830188681","822.3864150943397","796.1792452830189","838.1371698113204","795.4656603773585","825.0139622641511","877.6843396226416","864.3232075471699","843.3011320754714"
"5985","548.49","669.6175000000001","650.77","683.0400000000001","677.945","691.9375","688.3075","581.26","568.595"
"6796","489.55999999999995","481.8455102040816","490.41163265306113","494.4783673469388","473.22061224489806","461.1730612244899","464.58408163265295","485.0251020408163","470.81040816326527"
"6797","495.0222222222223","480.8766666666667","489.06277777777785","491.6311111111111","472.315","460.48333333333335","461.7727777777778","479.28888888888883","476.44777777777773"
"6794","469.2107692307692","445.49538461538464","462.40846153846155","467.59538461538466","454.52384615384614","445.09461538461534","450.86692307692306","469.6923076923077","443.82384615384615"
"6795","534.7249999999999","518.33","548.7049999999999","493.07","476.735","497.53499999999997","468.12","528.125","509.555"
"6792","486.26507936507926","478.78341269841303","492.22285714285726","485.0419047619045","473.50841269841266","474.43555555555554","468.9923809523809","490.49182539682533","474.9711111111109"
"6793","522.355","506.9508333333333","519.9591666666666","526.0758333333333","495.67749999999995","497.0183333333334","513.9316666666667","511.47583333333336","508.81583333333333"
"6790","492.0509375","489.7778125000001","498.6028125000001","497.5134375","469.23375000000004","461.08187499999997","457.06624999999997","487.8678125","470.70281249999994"
"6791","548.5784482758622","535.449827586207","544.2168965517241","537.8874137931035","519.9172413793103","523.3236206896552","516.1418965517241","534.558793103448","506.918275862069"
"6798","752.702857142857","769.067142857143","721.495238095238","752.7976190476189","720.2076190476192","747.4709523809524","797.9261904761905","810.1642857142856","797.3128571428572"
"6799","574.785","597.525","586.6360000000001","614.8319999999999","605.013","623.162","672.7909999999999","644.3309999999999","644.61"
"6294","676.9178571428572","723.785","715.2757142857143","714.4221428571428","595.9564285714285","627.867142857143","718.465","738.8771428571429","595.6292857142856"
