"hru","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"5988","408.62","412.89","414.81","415.82","432.22","438.92","444.37","441.15","451.6"
"5989","488.00624999999997","491.145","485.38875","492.28125000000006","506.53","506.7525","524.385","512.37375","501.475"
"5982","637.3312000000001","627.8367999999999","629.6584","510.6527999999999","308.6495999999999","358.4691999999999","370.61000000000007","322.0096000000001","382.9032000000001"
"5983","736.4907692307697","734.7592307692307","716.3810989010989","755.4081318681318","527.466043956044","451.07054945054927","547.6630769230765","639.3707692307693","702.5453846153845"
"5980","642.9623076923076","665.1046153846154","651.5607692307693","733.2600000000001","571.0238461538461","600.5707692307692","714.8046153846153","746.7784615384616","813.5007692307692"
"5981","859.26","859.4","834.98","856.97","863.11","891.87","863.52","873.92","912.0"
"5986","407.4799999999999","411.6400000000001","413.31999999999994","414.7299999999999","430.5600000000002","437.61999999999995","442.8100000000002","439.04","449.85000000000014"
"5987","408.03","412.1","414.09","415.41","430.65","437.72","443.04","439.0","450.12"
"5984","806.8526415094339","806.4022641509437","780.2481132075469","816.2084905660379","637.1316981132079","605.944150943396","685.3277358490567","766.4415094339622","812.1260377358492"
"5985","539.6575","492.76000000000005","468.9125","482.99749999999995","359.715","426.5475","503.325","582.215","627.38"
"6796","485.671836734694","503.28204081632657","506.28183673469397","498.318163265306","504.25755102040824","503.12183673469383","500.70959183673483","496.03265306122444","506.56163265306117"
"6797","490.99777777777774","508.7255555555556","495.59333333333336","485.76611111111106","498.37166666666667","512.1583333333333","501.34833333333324","499.1577777777779","516.3438888888888"
"6794","460.5961538461539","465.63999999999993","459.3053846153846","452.08923076923077","476.6092307692307","475.7807692307693","457.9353846153845","473.22076923076924","486.8707692307692"
"6795","511.335","530.11","541.0","508.54499999999996","542.5150000000001","513.265","507.885","500.135","545.355"
"6792","490.2136507936508","500.57746031746035","502.1756349206347","495.1819841269843","501.9346825396827","501.9280952380953","500.9119841269842","500.1644444444447","510.2594444444443"
"6793","531.8816666666668","527.9749999999999","536.8858333333333","530.465","531.3275","530.3583333333332","525.4025","521.8466666666667","533.0566666666667"
