"hru","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"5988","388.31999999999994","379.61","369.13","358.34","370.5","381.29","389.1","375.14","376.39"
"5989","473.09785149218743","459.7966855091035","449.9322193968075","440.48224066554235","464.0010348413033","478.10641310620196","469.03850319797505","470.41692238146396","460.24183302315083"
"5982","670.767298579767","659.2340107484274","594.9450156262076","645.8873401173693","631.134628769233","612.7209211907069","620.264289370688","613.9123211173359","621.3897722296165"
"5983","740.0184695939791","746.7311314579903","660.5844093084235","718.3855576433734","700.030756698413","690.2663480436878","700.9899099902669","707.1023064050306","712.8844960935221"
"5980","705.3270990785085","761.1298801707105","634.3816839567677","657.6296395083998","640.9698106657073","458.8295843836182","352.20635855767506","436.95571077121923","581.1692317981906"
"5981","883.09","885.6099999999999","787.16","816.95","835.64","855.97","881.17","852.3699999999999","846.9499999999999"
"5986","386.24000000000007","377.65","366.94","356.44","368.4200000000001","379.3","387.3500000000001","373.21000000000004","374.38000000000005"
"5987","387.49000000000007","379.09","368.44","357.88000000000005","370.09000000000003","380.73","388.28","374.54","375.61000000000007"
"5984","713.107846799142","720.325590806117","636.7339723197731","680.3399922001031","672.22565822386","575.2240666715445","517.49532416331","566.2120471862951","610.5207882108348"
"5985","657.7279223371834","687.7265062250303","609.180531593328","669.4807291752315","651.4952492030641","634.3880965308606","642.8532061538074","656.0266556080636","656.758337405685"
"6796","491.2778023374845","468.79348542672346","463.2463931472849","453.9856017647935","462.29260213775234","481.4702061141796","487.3789850613145","459.2402175919285","466.81688947242577"
"6797","477.62547775425827","472.7161944705922","465.38081236006343","454.12226403786343","461.2609054222966","477.8160046792165","486.2690545867394","465.4245449045685","472.0732880051014"
"6794","466.8578459068621","478.75202918589656","444.93889529423706","438.4300790359576","447.6003572483626","471.59692171010073","473.66521306123724","452.5017587983986","465.26011764449606"
"6795","512.2699455462496","500.8683726229448","481.7926293031664","459.1889413185773","451.45861766482227","485.3148571078872","495.15895416482783","480.96567755415134","476.3879771640309"
"6792","488.0803051255204","481.7408473703095","462.6867414027125","452.8888895950281","458.5969377515382","477.9590944047792","494.8699665544149","460.94585855393854","472.2264404635733"
"6793","524.915851942067","519.2226355106317","476.59364328294106","489.22618179739203","495.0826016343377","505.3381670065504","522.9842776848944","498.34103709457884","500.91844439372124"
"6790","501.7048291491255","478.44416521699856","476.6130513963103","467.42883286755716","467.6476781814948","479.4227390941992","484.2830979540419","471.78920533094936","473.7270850039424"
"6791","533.6169296640222","533.0589224527264","516.1349715860306","497.9125629347002","505.37105655771313","526.298906242466","530.5721852967678","513.3708653595125","524.8787166849231"
"6798","711.2157567742394","827.2697454067707","775.4683707028543","803.6775215741071","793.4910205249345","802.2366454006961","735.7944683313683","684.1663861194733","618.8211601110111"
"6799","641.1177793596373","640.9976844827686","572.2503081331159","635.252174980439","608.4490403827475","600.8486128779788","617.8121620121661","638.1626507976071","627.6215890011007"
"6294","795.5491311763071","823.2956911199485","734.9065568666427","751.0275766877606","751.5934362534279","479.23727037832595","401.0242345121498","500.1207298604809","606.6229377712839"
"270","797.5277280769361","790.3716933508057","705.1368878779197","754.2265796775308","759.8551820238952","710.3384375344923","729.2434087236112","740.7075793691118","736.317020441224"
"271","691.4466521580332","812.3226565810082","728.3150261543195","751.6858192860568","730.9435212886186","575.2558700206166","500.4251132728926","625.8827408611205","673.7637032701723"
"272","672.6340695292064","686.9259826680446","594.230364081004","631.9085919774695","636.544949241143","610.5817137104754","607.1155101443588","630.8407967220056","585.2156556049439"
"273","699.1991541168451","721.5392015328806","639.0552786330521","654.5897762084585","646.5226153358825","603.9033405739026","608.9227498198361","585.7017170345538","599.8328898214388"
"274","803.6199999999999","800.68","708.61","748.58","756.52","720.47","753.06","765.6199999999999","775.04"
"275","810.0391812218933","711.0932527463677","664.3966853905699","599.4372909542192","607.1168185218373","639.7040701137598","727.9223681621131","737.2028113067555","743.4203929006546"
"276","739.4962192907348","742.266122146047","640.5844074262262","676.7925988081895","646.580755907412","629.3177209037675","657.7723043475712","682.1814630660161","648.9341880518932"
"277","754.6176147989033","751.5045041188632","664.9498433868933","694.4607556767578","687.52233142989","660.3262412520284","677.8987586872228","683.5397603159612","709.0500835265248"
"278","913.01","300.44","231.41","223.25","230.46999999999997","526.63","724.97","863.6300000000001","763.2500000000001"
"279","752.3763031252976","783.9077078606288","696.5961267939634","726.382414312445","745.2805073491264","730.0397344725329","728.2316118746343","754.7046398093262","748.5077643415651"
"2143","630.6327278864246","662.3518363257723","613.0917724237196","670.6097015767931","646.0280094601748","658.5039882082684","660.1059838974047","642.6332902512756","649.3973508087709"
"2142","781.3553096916119","863.7622188617152","761.9139233198636","780.3228256599009","722.5525022883232","733.6101993712249","801.7960146536445","674.7128334842544","553.9384729454056"
"3519","880.6436666590014","881.5880384301788","767.5143566505922","817.794855229694","826.6007387706641","829.594538586837","843.7782571822867","835.6379370007863","824.9159644965674"
"3518","692.5055765213049","736.0424312015292","674.8651642974555","725.1413511375249","710.8486998729094","702.5024827292966","731.879250123365","754.6475874459995","735.039206978555"
"3513","558.7260146118427","575.5365415438171","529.9651023509848","527.7902783222696","532.175951095667","549.6836436115706","567.4744556402392","542.1514292422396","543.6813247861191"
"3512","486.5888803372396","487.5739531209437","465.7953358975635","453.99672150591465","476.2619087921106","466.7372240574387","477.6552427947096","469.54840935586464","475.96905547321944"
"3511","511.65227573939285","533.3906765518237","473.52803104282003","476.7917097001562","526.9097381685617","484.2706447487009","496.5493020101814","517.3178278509985","491.0561598008438"
"3517","473.64","473.51","449.51","442.01","461.36","463.78","475.27","462.21","464.35"
"3516","519.2083399126813","528.2854901945674","480.6070609250582","480.5654742980473","494.4276054430293","496.8277640096044","507.83893564051937","502.8254261716704","504.7882517303905"
"3515","488.48393689728135","489.82616044255457","461.3488745464657","461.5580864037558","480.95583617817965","475.8489979888038","492.1363428751745","482.9828435150035","465.1993099945052"
"3514","591.2971858335952","565.835942361226","545.6715713921812","530.2237181047916","556.1344543529007","571.8744517272474","577.4827194685777","566.0868609617291","547.4283207626786"
"2688","808.5718253053558","1007.8326071291367","920.2170045176607","593.7808499934728","355.20098702251585","501.9375042220671","654.1399581933349","719.1060214816752","609.1784667343077"
"2689","735.6820472069729","737.945970638438","636.640576720493","686.8346781195634","675.1223791024368","665.5838385544087","689.7933372038641","700.471054377102","699.8457516151589"
"2684","801.8106356721411","883.0366193511694","880.6009183508701","938.960496027405","945.7046732214346","764.5345043445866","497.0279522623612","634.9016568672133","829.8788534152781"
"2685","972.7343805265277","997.152432617829","854.2713565837769","886.4326240493955","913.4571739949828","554.9145104762597","747.5674700969082","877.6196615995952","907.6713621701391"
"2686","861.6478307875951","870.464502854396","756.0048391771272","816.1287306142856","805.901928256171","799.4625179787008","820.2375123600597","835.1892880683006","842.7585409102205"
