"hru","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"5988","400.8","398.08","401.31","408.37","403.91","408.07","407.85","427.77","423.16"
"5989","473.20875","487.355","480.78875","489.91874999999993","486.02500000000003","478.33374999999995","483.18874999999997","499.96","470.15625"
"5982","648.2651999999999","626.4823999999999","624.9024","663.5272","657.9248","647.3052","621.1496","585.0067999999997","353.55000000000007"
"5983","744.8569230769234","750.7097802197795","732.3525274725275","770.6952747252752","728.6958241758244","755.7137362637362","794.6830769230771","780.8651648351649","765.4553846153847"
"5980","664.9592307692308","710.4369230769231","746.2461538461539","805.2230769230771","752.7415384615385","750.7600000000001","746.7638461538461","766.2384615384616","742.523076923077"
"5981","871.54","878.21","852.73","889.55","851.33","870.79","902.31","911.75","882.48"
"5986","398.77999999999986","396.68000000000006","399.7700000000001","406.6499999999999","402.93000000000006","406.60999999999996","406.6999999999999","426.48999999999984","422.3000000000001"
"5987","399.62","397.5","400.79","407.69","403.42","407.46","407.62","426.43","422.4"
"5984","811.0164150943398","822.3620754716981","796.1318867924531","838.0956603773581","795.427924528302","824.5026415094339","877.3298113207547","864.0049056603774","845.3730188679243"
"5985","548.4875","669.22","651.595","683.8149999999999","678.4250000000001","692.28","688.655","641.1274999999999","644.87"
"6796","489.86979591836723","482.1008163265306","490.9226530612244","494.82061224489803","473.40081632653073","461.1730612244899","464.58408163265295","485.1048979591837","470.945306122449"
"6797","495.0222222222223","480.8766666666667","489.06277777777785","491.6311111111111","472.315","460.48333333333335","461.7727777777778","479.28888888888883","476.44777777777773"
"6794","469.2107692307692","445.49538461538464","462.40846153846155","467.59538461538466","454.52384615384614","445.09461538461534","450.86692307692306","469.6923076923077","443.82384615384615"
"6795","534.7249999999999","518.33","548.7049999999999","493.07","476.735","497.53499999999997","468.12","528.125","509.555"
"6792","486.26507936507926","478.78341269841303","492.22285714285726","485.0419047619045","473.50841269841266","474.43555555555554","468.9923809523809","490.49182539682533","474.9711111111109"
"6793","522.355","506.9508333333333","519.9591666666666","526.0758333333333","495.67749999999995","497.0183333333334","513.9316666666667","511.47583333333336","508.81583333333333"
"6790","492.0509375","489.7778125000001","498.6028125000001","497.5134375","469.23375000000004","461.08187499999997","457.06624999999997","487.8678125","470.70281249999994"
"6791","548.7215517241381","536.0675862068965","544.2758620689655","537.8874137931035","519.9882758620689","523.3236206896552","516.1418965517241","534.558793103448","506.918275862069"
"6798","752.5023809523808","770.8338095238096","761.0709523809526","743.6471428571427","698.9257142857143","762.1509523809524","778.4942857142859","824.7457142857141","736.6990476190479"
"6799","596.4530000000001","634.0609999999999","633.982","644.5699999999999","605.133","618.623","652.4089999999999","624.699","627.8049999999998"
"6294","691.225","732.1828571428571","728.075","698.9549999999999","545.145","586.4471428571427","689.6978571428572","696.8607142857143","371.43571428571425"
