"hru","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"5988","400.8","398.08","401.31000000000006","408.37","403.91","408.06999999999994","407.85","427.77","423.16"
"5989","475.6038409759686","477.45301254034945","477.0433548718395","480.8570481575304","479.49167261604043","486.05900774891364","476.0536139164275","494.8613077368052","465.8338122332385"
"5982","665.1019263551331","647.3231897620946","632.4302762984715","632.8123476911031","628.1939498533977","638.9007680757952","656.6813156786752","614.8654354542285","418.4982745996097"
"5983","743.8741428847349","753.9876150402513","737.6664511426321","775.3951034029924","729.5287612393464","752.9888527584491","799.2631449543635","787.0016516822704","775.5569733056874"
"5980","704.2580093051906","767.58311394286","719.4612529159706","744.5597902404396","674.4714625030734","706.8945896643094","744.3043759539887","726.2230878135216","692.7052012766771"
"5981","871.55","878.21","852.7300000000001","889.55","851.33","870.79","902.3100000000001","911.75","882.48"
"5986","398.78000000000003","396.6800000000001","399.77","406.65","402.93","406.6100000000001","406.7","426.49000000000007","422.3000000000001"
"5987","399.62000000000006","397.5","400.79000000000013","407.6900000000001","403.42","407.46","407.62","426.43000000000006","422.40000000000003"
"5984","725.3123018922914","735.170711594898","712.4406071021784","749.3372617476259","708.896614297561","733.3099062150269","781.5228448753141","771.3359779344742","755.2824627634409"
"5985","644.3594253511591","689.7529875011988","659.1125275435926","689.8306663152445","682.8672037223834","695.8409557565572","724.9142487346473","692.0156988564539","667.7810759064466"
"6796","486.19040630952014","483.1708636994136","489.9420843081789","492.60237391722364","469.10814053300055","459.73500823890254","460.05482947282314","479.39822330902126","465.92435167775375"
"6797","493.43192655730047","482.94263730256864","487.559601550335","498.92147496738664","468.34570875242997","460.4455178865751","459.92860383039834","473.5417628913632","482.3382867970678"
"6794","484.2166381985082","452.1393241996991","470.89127130514424","485.40293423728633","465.3775959027834","455.13892204756553","458.2074236931956","494.31322511754917","446.0732060583946"
"6795","529.3712757292379","524.6424394822266","532.824798148979","487.66241532409947","475.73750529683593","498.5755830272749","474.8202343992234","550.5373917862125","495.7947436952284"
"6792","485.3181347072458","479.0709312245798","492.7699298378505","482.4709206479478","475.0476740462095","477.36097111568876","472.6279076741545","494.00171927968785","475.01864108482823"
