"huc","2010","2020","2030","2040","2050","2060","2070","2080","2090"
"170900070107","16666.658394160582","10621.60291970803","16772.17518248175","17516.843795620436","12730.093430656934","10362.718248175182","11119.125547445256","8493.327007299271","13439.702189781023"
"170900070106","12494.538258575198","8766.205804749341","13212.22691292876","12886.562005277045","8438.622691292876","7429.35092348285","9230.41160949868","5680.596306068602","11693.707124010554"
"170900070105","8375.346153846154","5824.692307692308","8969.824786324787","9168.662393162393","6110.123931623932","5290.307692307692","6214.089743589743","3819.1581196581196","6869.282051282052"
"170900070104","9217.44776119403","6816.86815920398","10196.8184079602","10013.800995024876","6284.360696517413","5729.81592039801","7605.241293532338","4199.067164179104","8879.820895522387"
"170900070103","20395.020876826722","15927.872651356995","20602.603340292277","17179.624217119","15821.563674321504","13094.546972860126","13511.246346555323","12739.277661795408","24108.680584551148"
"170900070102","18709.564270152507","13192.178649237472","20445.736383442265","20432.729847494553","14166.37908496732","11966.141612200436","13220.56862745098","8787.531590413942","15500.089324618737"
"170900070101","10881.09219858156","6740.252955082742","10622.45390070922","11395.312056737588","7923.801418439716","6416.891252955083","7065.527186761229","5392.810874704492","8352.234042553191"
"170900110601","213324.15238095238","191236.00952380954","226457.95714285714","216732.98095238095","177478.19047619047","162957.91904761904","153629.78095238094","203599.75714285715","266474.6666666667"
"170900110603","14554.780487804877","13230.115853658537","9163.649390243903","12113.72256097561","5211.091463414634","8778.067073170732","7382.34756097561","12318.09756097561","17783.350609756097"
"170900110602","24955.605263157893","22725.72807017544","17065.90350877193","20641.537280701756","13526.723684210527","16738.515350877195","14995.765350877193","21863.554824561405","30107.390350877195"
"170900110605","11916.008875739644","10410.647928994083","9274.917159763314","11331.828402366864","2432.195266272189","6944.0","4719.736686390533","9646.387573964497","13880.68047337278"
"170900110604","37733.879921259846","29554.858267716536","22026.84251968504","30780.027559055117","13488.435039370079","22314.09842519685","18107.751968503937","26027.364173228347","38831.387795275594"
"170900110607","8672.885517241379","8120.540689655172","8563.692413793104","9592.004137931035","2114.0703448275863","4947.300689655172","3827.1310344827584","7490.271724137931","10155.238620689655"
"170900110606","6683.775280898876","7697.119850187266","6271.988764044944","8335.228464419475","1283.4719101123596","4730.194756554307","2873.8576779026216","7588.318352059925","8828.131086142323"
"170900100503","14461.505376344086","14332.948028673834","23391.060931899643","18325.967741935485","7360.087813620072","5888.05376344086","10288.781362007168","6677.808243727599","11954.406810035842"
"170900100502","3236.179669030733","3404.368794326241","5500.664302600473","4336.465721040189","1763.3427895981088","1338.6572104018912","2649.706855791962","1827.449172576832","3299.7163120567375"
"170900100501","6555.283333333334","5161.575","8446.488888888889","7213.655555555555","3785.411111111111","2711.1","3683.213888888889","2690.2027777777776","4947.063888888889"
"170900100504","4842.788372093023","4812.606976744186","7625.8","6493.7558139534885","2476.186046511628","1918.0372093023257","3236.344186046512","2934.9186046511627","4045.0558139534883"
"170900010303","36833.38175675676","29893.358108108107","30047.587837837837","28381.412162162163","28298.859797297297","24501.782094594593","27621.160472972973","30700.55912162162","36656.76013513513"
"170900010302","1198857.7558386412","856412.719745223","1478847.5732484076","1976601.6135881103","1639195.433121019","1093909.8492569001","1172456.713375796","1538584.864118896","1093126.3121019108"
"170900010301","2855092.9893238433","3091835.181494662","3829179.359430605","4258493.2241992885","4282834.71886121","3306748.1494661923","3392103.5302491104","3555368.24911032","3079829.3665480427"
"170900060806","7287.284196547144","4339.147410358566","5350.215139442231","6391.609561752988","4214.5139442231075","3809.35192563081","3711.8964143426297","4149.402390438247","4794.371845949535"
"170900060805","16340.70942408377","11890.452879581151","8713.832460732985","10210.727748691099","5402.8167539267015","7603.869109947644","6094.6832460732985","11654.534031413612","12222.795811518325"
"170900060804","38377.327935222675","34746.51821862348","19983.504048582996","24908.291497975708","22927.386639676115","21671.14979757085","15088.753036437247","29472.467611336033","34559.05870445344"
"170900060803","25708.44210526316","18948.376315789475","12849.515789473684","14224.302631578947","5376.992105263158","11679.67894736842","8991.339473684211","20109.242105263158","19721.89210526316"
"170900060802","24823.519337016576","23840.67955801105","13515.944751381216","15162.10773480663","10282.331491712706","12005.35635359116","9876.5","21560.411602209944","24153.933701657457"
"170900060801","36850.871747211895","29422.32713754647","18687.137546468402","20541.0780669145","8880.236059479554","15459.167286245352","12924.39219330855","27339.52602230483","29252.455390334573"
"170900060205","131374.9431279621","131324.17535545025","153092.37914691944","124707.26066350711","105612.41232227487","77100.97630331754","75979.84834123222","117639.78199052133","128187.41232227487"
"170900060204","478622.61423220974","448208.3745318352","547423.8202247191","517522.3520599251","502091.9850187266","255479.2509363296","277530.02996254683","453242.0786516854","417176.1722846442"
